"word","freq"
"role",98
"time",98
"violence",98
"yemen",98
"committee",97
"nato",97
"referendum",97
"trial",97
"corruption",96
"militants",96
"strike",96
"strikes",96
"turkeys",96
"women",96
"groups",95
"least",95
"people",95
"senior",95
"takes",95
"team",95
"votes",95
"big",94
"chinese",94
"comey",94
"wont",94
"release",93
"spain",93
"stop",93
"zimbabwe",93
"capital",91
"cruz",91
"east",91
"suspected",91
"urge",91
"arabia",90
"florida",90
"northern",90
"return",90
"ria",90
"cuts",89
"cyber",89
"egypt",89
"passes",89
"repeal",89
"reports",89
"battle",88
"control",88
"defends",88
"pakistan",88
"post",88
"london",87
"run",87
"seen",87
"special",87
"bank",86
"denies",86
"get",86
"lebanon",86
"voters",86
"ambassador",85
"faces",85
"ireland",85
"issues",85
"protests",85
"spending",85
"statement",85
"trip",85
"boost",84
"email",84
"embassy",83
"energy",83
"gun",83
"leave",82
"moscow",82
"nafta",82
"arms",81
"march",81
"mattis",81
"paris",81
"see",81
"uks",81
"hariri",80
"illinois",80
"taiwan",80
"final",79
"frances",79
"keep",79
"mayor",79
"start",79
"block",78
"face",78
"texas",78
"world",78
"afghan",77
"afghanistan",77
"canada",77
"federal",77
"koreas",77
"agencies",76
"claims",76
"close",76
"elections",76
"last",76
"offers",76
"reutersipsos",76
"asia",75
"flynn",75
"friday",75
"kurds",75
"mugabe",75
"protesters",75
"rally",75
"sign",75
"syrias",75
"victory",75
"allies",74
"challenge",74
"director",74
"expects",74
"finance",74
"germanys",74
"pope",74
"transition",74
"arrested",73
"britains",73
"epa",73
"europe",73
"high",73
"home",73
"issue",73
"jobs",73
"picks",73
"program",73
"right",73
"talk",73
"zimbabwes",73
"appeals",72
"bangladesh",72
"cabinet",72
"gets",72
"offer",72
"percent",72
"sea",72
"criticism",71
"india",71
"irish",71
"israeli",71
"labor",71
"man",71
"signs",71
"use",71
"without",71
"americans",70
"australia",70
"day",70
"philippine",70
"press",70
"refugee",70
"troops",70
"chair",69
"conservative",69
"deputy",69
"economic",69
"eus",69
"overhaul",69
"social",69
"future",68
"kenya",68
"pact",68
"response",68
"sessions",68
"stay",68
"transgender",68
"graft",67
"mccain",67
"rubio",67
"shows",67
"carolina",66
"efforts",66
"japans",66
"migrants",66
"ministry",66
"reforms",66
"voting",66
"abe",65
"economy",65
"emails",65
"five",65
"highlights",65
"latest",65
"mexican",65
"prosecutor",65
"tensions",65
"voter",65
"major",64
"mcconnell",64
"parties",64
"progress",64
"show",64
"terrorism",64
"australian",63
"comments",63
"conservatives",63
"early",63
"eyes",63
"hacking",63
"hit",63
"investigation",63
"jailed",63
"moves",63
"obamas",63
"qatar",63
"questions",63
"soldiers",63
"spanish",63
"staff",63
"weapons",63
"behind",62
"chairman",62
"changes",62
"cnn",62
"condemns",62
"financial",62
"free",62
"global",62
"hits",62
"names",62
"need",62
"watchdog",62
"allegations",61
"congressional",61
"crackdown",61
"dispute",61
"funds",61
"king",61
"market",61
"now",61
"soon",61
"treasury",61
"tuesday",61
"way",61
"arrests",60
"concerned",60
"farright",60
"johnson",60
"libya",60
"meets",60
"money",60
"region",60
"reuters",60
"step",60
"thursday",60
"access",59
"appeal",59
"concerns",59
"fed",59
"pay",59
"rebels",59
"reelection",59
"steps",59
"strong",59
"tough",59
"activists",58
"africas",58
"confirms",58
"donald",58
"drug",58
"probes",58
"spy",58
"thousands",58
"times",58
"african",57
"days",57
"found",57
"hearing",57
"libyan",57
"vietnam",57
"act",56
"brazil",56
"detained",56
"give",56
"job",56
"launch",56
"members",56
"militant",56
"mnuchin",56
"palestinian",56
"public",56
"reach",56
"request",56
"targets",56
"vice",56
"workers",56
"corporate",55
"due",55
"duterte",55
"effort",55
"gives",55
"makes",55
"prince",55
"sets",55
"six",55
"stance",55
"target",55
"testify",55
"accuses",54
"car",54
"council",54
"netanyahu",54
"second",54
"cites",53
"executive",53
"good",53
"muslim",53
"resign",53
"ceo",52
"firm",52
"focus",52
"fraud",52
"lebanons",52
"missing",52
"needs",52
"pass",52
"suspect",52
"ally",51
"cooperation",51
"diplomatic",51
"firms",51
"migrant",51
"search",51
"threatens",51
"unity",51
"visa",51
"ask",50
"biden",50
"deadly",50
"diplomat",50
"join",50
"middle",50
"sudan",50
"united",50
"woman",50
"aides",49
"april",49
"avoid",49
"central",49
"clash",49
"convention",49
"delay",49
"dialogue",49
"fox",49
"hurt",49
"looms",49
"mays",49
"raise",49
"shooting",49
"backed",48
"break",48
"charge",48
"children",48
"consider",48
"expected",48
"fix",48
"human",48
"journalists",48
"leads",48
"legislation",48
"navy",48
"options",48
"pledges",48
"prime",48
"returns",48
"virginia",48
"west",48
"yet",48
"agenda",47
"considering",47
"ends",47
"experts",47
"facebook",47
"family",47
"fuel",47
"fund",47
"hillary",47
"interview",47
"jail",47
"killing",47
"many",47
"raqqa",47
"service",47
"street",47
"suspends",47
"working",47
"aims",46
"airport",46
"blasts",46
"commission",46
"draws",46
"ethics",46
"irans",46
"italy",46
"lavrov",46
"others",46
"part",46
"points",46
"potential",46
"resigns",46
"son",46
"abortion",45
"board",45
"coal",45
"country",45
"gas",45
"lawsuit",45
"leaves",45
"line",45
"manafort",45
"nominate",45
"policies",45
"prison",45
"proposal",45
"regional",45
"taxes",45
"thai",45
"tweet",45
"union",45
"zealand",45
"zika",45
"companies",44
"december",44
"eastern",44
"emergency",44
"indonesia",44
"industry",44
"islamist",44
"opposes",44
"quake",44
"quits",44
"scandal",44
"seven",44
"situation",44
"system",44
"toward",44
"visits",44
"address",43
"agrees",43
"american",43
"asylum",43
"beijing",43
"committed",43
"congo",43
"data",43
"deals",43
"dept",43
"diplomats",43
"drops",43
"electoral",43
"exit",43
"full",43
"green",43
"kerry",43
"limit",43
"monday",43
"opens",43
"raises",43
"remain",43
"risk",43
"school",43
"supporters",43
"abuse",42
"activist",42
"blast",42
"brazils",42
"charged",42
"civil",42
"criticizes",42
"demands",42
"european",42
"fighting",42
"find",42
"indian",42
"iranian",42
"nations",42
"nomination",42
"planned",42
"proposes",42
"protect",42
"puts",42
"quit",42
"remains",42
"seeking",42
"sue",42
"aim",41
"alabama",41
"another",41
"blocks",41
"clintons",41
"continue",41
"documents",41
"draft",41
"far",41
"hopeful",41
"journalist",41
"launches",41
"list",41
"made",41
"politics",41
"remarks",41
"resignation",41
"shutdown",41
"swiss",41
"threats",41
"told",41
"wednesday",41
"accused",40
"africa",40
"allow",40
"among",40
"antitrump",40
"body",40
"cia",40
"clear",40
"coast",40
"courts",40
"insurance",40
"lebanese",40
"measures",40
"murder",40
"myanmars",40
"presidents",40
"price",40
"strategy",40
"term",40
"university",40
"veto",40
"welcomes",40
"confident",39
"evidence",39
"fighters",39
"flights",39
"heads",39
"illegal",39
"international",39
"italys",39
"kenyan",39
"kurdistan",39
"links",39
"ministers",39
"muslims",39
"ousted",39
"peninsula",39
"promises",39
"prosecutors",39
"put",39
"sec",39
"star",39
"tests",39
"town",39
"tpp",39
"train",39
"weighs",39
"zuma",39
"assad",38
"austrian",38
"challenges",38
"chicago",38
"choice",38
"conflict",38
"consumer",38
"counsel",38
"crimes",38
"dismisses",38
"fear",38
"hezbollah",38
"hope",38
"nyt",38
"ohio",38
"rate",38
"relief",38
"spains",38
"tech",38
"toll",38
"water",38
"withdrawal",38
"worker",38
"agreement",37
"bipartisan",37
"congressman",37
"czech",37
"governors",37
"guilty",37
"halt",37
"intel",37
"kirkuk",37
"kushner",37
"laws",37
"long",37
"meddling",37
"needed",37
"nigeria",37
"poland",37
"proposed",37
"raid",37
"relations",37
"september",37
"testimony",37
"unlikely",37
"western",37
"america",36
"attend",36
"away",36
"better",36
"christie",36
"citizens",36
"come",36
"delays",36
"details",36
"detains",36
"education",36
"finds",36
"gmt",36
"homeland",36
"interior",36
"looks",36
"michigan",36
"process",36
"propose",36
"resume",36
"supports",36
"try",36
"within",36
"ads",35
"around",35
"backing",35
"bombers",35
"bush",35
"conference",35
"curb",35
"discussed",35
"drop",35
"endorses",35
"hong",35
"indonesian",35
"information",35
"israels",35
"juncker",35
"missiles",35
"nine",35
"outside",35
"path",35
"polls",35
"relationship",35
"row",35
"slams",35
"station",35
"alleged",34
"alzor",34
"austrias",34
"baghdad",34
"candidates",34
"chemical",34
"countries",34
"deadline",34
"deir",34
"egypts",34
"fears",34
"fires",34
"firing",34
"held",34
"host",34
"infrastructure",34
"injured",34
"iraqs",34
"leadership",34
"life",34
"limits",34
"local",34
"months",34
"pennsylvania",34
"pension",34
"pipeline",34
"presses",34
"private",34
"pushes",34
"record",34
"road",34
"since",34
"singapore",34
"spd",34
"starts",34
"anc",33
"bills",33
"black",33
"commander",33
"commerce",33
"concern",33
"decide",33
"defend",33
"dies",33
"fired",33
"freedom",33
"gains",33
"gulf",33
"ifax",33
"increase",33
"inquiry",33
"lawyers",33
"mueller",33
"politico",33
"sale",33
"speak",33
"taps",33
"trying",33
"brussels",32
"build",32
"camp",32
"christmas",32
"cities",32
"claim",32
"colombia",32
"coup",32
"declares",32
"detention",32
"diplomacy",32
"gaza",32
"growth",32
"holds",32
"impact",32
"inauguration",32
"interest",32
"jersey",32
"judges",32
"kim",32
"maduro",32
"making",32
"medicaid",32
"moon",32
"name",32
"nears",32
"phone",32
"reject",32
"releases",32
"romney",32
"safety",32
"secret",32
"send",32
"sex",32
"shot",32
"signals",32
"submarine",32
"suicide",32
"trudeau",32
"weeks",32
"alliance",31
"bathroom",31
"billionaire",31
"cases",31
"child",31
"civilians",31
"controversial",31
"dangerous",31
"democracy",31
"dreamers",31
"edt",31
"food",31
"harassment",31
"idlib",31
"mexicos",31
"month",31
"nearly",31
"praises",31
"question",31
"risks",31
"running",31
"shift",31
"tweets",31
"video",31
"wounded",31
"accept",30
"arab",30
"banks",30
"base",30
"begin",30
"blow",30
"canadas",30
"chance",30
"comment",30
"defeat",30
"demand",30
"drone",30
"eight",30
"joint",30
"kong",30
"majority",30
"payments",30
"rebel",30
"red",30
"resolution",30
"resolve",30
"russians",30
"sanctuary",30
"sentences",30
"southeast",30
"speed",30
"split",30
"stand",30
"study",30
"suspects",30
"turn",30
"used",30
"visas",30
"wsj",30
"argentine",29
"center",29
"clears",29
"crime",29
"declines",29
"dont",29
"drills",29
"egyptian",29
"fail",29
"fake",29
"feb",29
"forward",29
"greek",29
"half",29
"incident",29
"japanese",29
"july",29
"letter",29
"oppose",29
"package",29
"powers",29
"released",29
"results",29
"services",29
"stage",29
"view",29
"warning",29
"watch",29
"whether",29
"wife",29
"accusations",28
"actions",28
"aircraft",28
"argentina",28
"bombing",28
"boss",28
"cambodia",28
"ceasefire",28
"chiefs",28
"clashes",28
"criminal",28
"critical",28
"dec",28
"declaration",28
"drive",28
"est",28
"expand",28
"eye",28
"families",28
"fiscal",28
"fresh",28
"harvey",28
"immigrants",28
"internet",28
"judicial",28
"look",28
"lose",28
"macrons",28
"main",28
"malaysia",28
"member",28
"mission",28
"moore",28
"moving",28
"newspaper",28
"november",28
"online",28
"postbrexit",28
"primary",28
"rhetoric",28
"rise",28
"saudis",28
"sends",28
"sentence",28
"sexual",28
"southern",28
"uae",28
"unit",28
"unveils",28
"venezuelas",28
"yemens",28
"asked",27
"assault",27
"banking",27
"boat",27
"cancels",27
"ceiling",27
"citizen",27
"closer",27
"contacts",27
"credit",27
"deaths",27
"delayed",27
"direct",27
"enough",27
"explosion",27
"extends",27
"flee",27
"great",27
"haley",27
"hard",27
"investment",27
"judiciary",27
"labour",27
"late",27
"leading",27
"left",27
"madrid",27
"marriage",27
"met",27
"palestinians",27
"plane",27
"proposals",27
"rescue",27
"restrictions",27
"retirement",27
"rises",27
"ross",27
"solution",27
"storm",27
"sues",27
"tension",27
"tusk",27
"unveil",27
"vatican",27
"venezuelan",27
"bloomberg",26
"boycott",26
"disaster",26
"divided",26
"document",26
"drugs",26
"dutch",26
"facing",26
"fair",26
"greece",26
"independent",26
"influence",26
"italian",26
"june",26
"just",26
"migration",26
"mulls",26
"pacific",26
"pakistani",26
"peru",26
"position",26
"religious",26
"replace",26
"safe",26
"sales",26
"save",26
"sides",26
"summons",26
"tell",26
"temer",26
"victims",26
"advisers",25
"announce",25
"announcement",25
"appoints",25
"bad",25
"bail",25
"ballot",25
"bring",25
"building",25
"cash",25
"considers",25
"contenders",25
"cost",25
"costs",25
"critic",25
"dozens",25
"ending",25
"ethnic",25
"euro",25
"fails",25
"freed",25
"ground",25
"helicopter",25
"islands",25
"kansas",25
"keeps",25
"lower",25
"measure",25
"nbc",25
"nominees",25
"oversight",25
"paul",25
"pelosi",25
"perus",25
"pledge",25
"port",25
"regulation",25
"regulations",25
"saudiled",25
"schools",25
"spokeswoman",25
"status",25
"sunday",25
"surveillance",25
"taliban",25
"third",25
"turns",25
"vetoes",25
"young",25
"aimed",24
"announces",24
"approval",24
"arizona",24
"bodies",24
"cant",24
"citing",24
"convoy",24
"doubt",24
"doubts",24
"drill",24
"extend",24
"extrump",24
"fcc",24
"flint",24
"gorsuch",24
"guantanamo",24
"hamas",24
"honduran",24
"hospital",24
"hungary",24
"immigrant",24
"jets",24
"kasich",24
"led",24
"little",24
"loses",24
"mandate",24
"message",24
"mosque",24
"past",24
"planning",24
"regulator",24
"representative",24
"sept",24
"shut",24
"warrant",24
"well",24
"withdraws",24
"accord",23
"accounts",23
"adds",23
"approve",23
"areas",23
"attempt",23
"become",23
"belgian",23
"boeing",23
"cleveland",23
"collapse",23
"confidence",23
"critics",23
"damascus",23
"date",23
"doddfrank",23
"ease",23
"form",23
"foundation",23
"goes",23
"hack",23
"halts",23
"hand",23
"hike",23
"historic",23
"hours",23
"let",23
"linked",23
"maria",23
"medical",23
"mnangagwa",23
"nsa",23
"oct",23
"operations",23
"orlando",23
"phase",23
"pleads",23
"pms",23
"replacement",23
"respond",23
"rivals",23
"schumer",23
"seekers",23
"small",23
"somalia",23
"spying",23
"stability",23
"suu",23
"terms",23
"upholds",23
"warren",23
"weigh",23
"wisconsin",23
"zone",23
"advances",22
"apologizes",22
"apple",22
"area",22
"arrives",22
"banned",22
"bannon",22
"bans",22
"blames",22
"cameroon",22
"canadian",22
"counter",22
"crash",22
"cuban",22
"curbs",22
"deficit",22
"development",22
"era",22
"even",22
"extension",22
"guard",22
"hacked",22
"honduras",22
"interference",22
"less",22
"maine",22
"mass",22
"merkels",22
"modi",22
"operation",22
"peaceful",22
"polands",22
"polish",22
"positive",22
"prepares",22
"rakhine",22
"refuses",22
"responsibility",22
"result",22
"revised",22
"rival",22
"seat",22
"secure",22
"short",22
"sisi",22
"torture",22
"tougher",22
"views",22
"vow",22
"wealthy",22
"worried",22
"abbas",21
"accepts",21
"allowing",21
"anadolu",21
"anticorruption",21
"armed",21
"bar",21
"believes",21
"bridgegate",21
"calm",21
"cambodian",21
"casualties",21
"chile",21
"closed",21
"contract",21
"corker",21
"damage",21
"doesnt",21
"door",21
"enforcement",21
"entry",21
"event",21
"expect",21
"georgia",21
"going",21
"grave",21
"growing",21
"hes",21
"indias",21
"island",21
"jails",21
"kyi",21
"leaving",21
"men",21
"niger",21
"nigerian",21
"plot",21
"privacy",21
"protection",21
"purge",21
"quick",21
"recount",21
"regrets",21
"residents",21
"samesex",21
"scrap",21
"sen",21
"sinai",21
"snap",21
"soninlaw",21
"speaks",21
"streets",21
"strengthen",21
"struggles",21
"sworn",21
"tackle",21
"taking",21
"thailand",21
"treatment",21
"treaty",21
"veterans",21
"advance",20
"antigraft",20
"blockade",20
"cohn",20
"congratulates",20
"daca",20
"danish",20
"detain",20
"die",20
"disputed",20
"dossier",20
"executives",20
"expansion",20
"files",20
"gay",20
"germans",20
"handling",20
"hawaii",20
"jan",20
"january",20
"land",20
"leak",20
"lift",20
"light",20
"like",20
"link",20
"malaysian",20
"markets",20
"massive",20
"memo",20
"mideast",20
"misconduct",20
"never",20
"nfl",20
"postpones",20
"powell",20
"pursue",20
"recognize",20
"respect",20
"revamp",20
"round",20
"senates",20
"sentenced",20
"site",20
"slow",20
"somali",20
"stocks",20
"student",20
"students",20
"survey",20
"temporary",20
"terror",20
"tower",20
"vehicle",20
"wage",20
"wrong",20
"abroad",19
"amnesty",19
"appears",19
"begins",19
"buy",19
"cambodias",19
"cancer",19
"carson",19
"citizenship",19
"cleansing",19
"cnbc",19
"coming",19
"communications",19
"cross",19
"crown",19
"dreamer",19
"embargo",19
"endorse",19
"endorsement",19
"environmental",19
"fall",19
"falls",19
"feud",19
"fighter",19
"flight",19
"games",19
"gold",19
"hackers",19
"hampshire",19
"helped",19
"history",19
"hotel",19
"housing",19
"interests",19
"iowa",19
"joins",19
"keeping",19
"kelly",19
"kuwait",19
"lockheed",19
"looking",19
"malta",19
"manager",19
"mark",19
"martin",19
"might",19
"minimum",19
"mps",19
"obamaera",19
"october",19
"option",19
"powerful",19
"problems",19
"project",19
"province",19
"pulls",19
"reporters",19
"restore",19
"seize",19
"sent",19
"serious",19
"session",19
"soldier",19
"suggests",19
"targeted",19
"terrorist",19
"track",19
"trust",19
"welcome",19
"whats",19
"willing",19
"winner",19
"words",19
"xinhua",19
"acting",18
"appear",18
"australias",18
"authorities",18
"babis",18
"bali",18
"barnier",18
"becomes",18
"best",18
"boko",18
"bomber",18
"bus",18
"businesses",18
"castro",18
"closes",18
"compromise",18
"conduct",18
"create",18
"dakota",18
"denounces",18
"donors",18
"earthquake",18
"expert",18
"extradition",18
"exu",18
"exxon",18
"frees",18
"govt",18
"grand",18
"greens",18
"hands",18
"hires",18
"humanitarian",18
"hundreds",18
"investigate",18
"john",18
"jordan",18
"know",18
"kosovo",18
"leaks",18
"legislative",18
"loss",18
"low",18
"marawi",18
"meetings",18
"michael",18
"net",18
"number",18
"offensive",18
"oklahoma",18
"parenthood",18
"plays",18
"point",18
"preparing",18
"probing",18
"rajoy",18
"rare",18
"reaction",18
"records",18
"riyadh",18
"runoff",18
"sacked",18
"selfdriving",18
"separatist",18
"share",18
"stick",18
"stock",18
"think",18
"tightens",18
"together",18
"tone",18
"touts",18
"tries",18
"unions",18
"voices",18
"warn",18
"worry",18
"abc",17
"account",17
"agents",17
"agreed",17
"anthem",17
"benghazi",17
"biggest",17
"blame",17
"breaks",17
"breakthrough",17
"briefing",17
"chaos",17
"collins",17
"commitment",17
"company",17
"conditions",17
"confirmation",17
"constitution",17
"couple",17
"course",17
"customs",17
"decries",17
"dinner",17
"disappointed",17
"displaced",17
"emissions",17
"exports",17
"favor",17
"fda",17
"fdp",17
"fills",17
"freeze",17
"front",17
"fundraising",17
"funeral",17
"geneva",17
"george",17
"given",17
"goals",17
"guatemala",17
"guns",17
"hails",17
"haram",17
"higher",17
"holding",17
"including",17
"investigating",17
"jet",17
"kabul",17
"kidnapped",17
"membership",17
"mine",17
"nobel",17
"nov",17
"partys",17
"poised",17
"posts",17
"premier",17
"problem",17
"property",17
"provide",17
"putins",17
"requests",17
"saturday",17
"scaramucci",17
"schaeuble",17
"separatists",17
"serve",17
"shiite",17
"showdown",17
"slash",17
"somalias",17
"sought",17
"stronger",17
"struggle",17
"super",17
"swedish",17
"tass",17
"tourism",17
"tourist",17
"treasurys",17
"truck",17
"worries",17
"abadi",16
"advisory",16
"airlines",16
"anger",16
"assets",16
"bahrain",16
"behavior",16
"bilateral",16
"brother",16
"businessman",16
"cause",16
"cbo",16
"ceos",16
"clean",16
"colombias",16
"complete",16
"consulate",16
"crossing",16
"deliver",16
"deportation",16
"disputes",16
"done",16
"encryption",16
"expands",16
"fate",16
"february",16
"field",16
"fleeing",16
"foes",16
"garland",16
"grants",16
"guards",16
"houthis",16
"hunt",16
"husband",16
"important",16
"improve",16
"include",16
"introduce",16
"invites",16
"jong",16
"later",16
"laundering",16
"lifts",16
"lobby",16
"mayors",16
"millions",16
"model",16
"movement",16
"msnbc",16
"nhc",16
"partner",16
"payment",16
"personal",16
"play",16
"prices",16
"puigdemont",16
"quickly",16
"rape",16
"removal",16
"reopen",16
"revive",16
"rigged",16
"scottish",16
"setback",16
"settlement",16
"skeptical",16
"smuggling",16
"soccer",16
"spotlight",16
"sri",16
"surge",16
"systems",16
"tight",16
"tour",16
"trumprussia",16
"unacceptable",16
"winning",16
"works",16
"zealands",16
"additional",15
"agent",15
"alarm",15
"allows",15
"atlantic",15
"aug",15
"ballistic",15
"blocking",15
"bribery",15
"cairo",15
"campaigns",15
"carrier",15
"checks",15
"clarity",15
"closing",15
"constitutional",15
"controversy",15
"count",15
"coverage",15
"custody",15
"defying",15
"desert",15
"dissident",15
"elected",15
"emir",15
"envoys",15
"expresident",15
"expresses",15
"eyeing",15
"false",15
"farm",15
"fights",15
"following",15
"forced",15
"franken",15
"generals",15
"google",15
"graham",15
"guinea",15
"havana",15
"huge",15
"implement",15
"impose",15
"inside",15
"insurers",15
"ivanka",15
"kenyas",15
"kingmaker",15
"lack",15
"lifting",15
"love",15
"mexicans",15
"militias",15
"minority",15
"nationals",15
"negotiations",15
"negotiator",15
"night",15
"nominates",15
"officer",15
"opening",15
"opponents",15
"paper",15
"parliamentary",15
"peacekeepers",15
"plant",15
"prepare",15
"programs",15
"putintrump",15
"raids",15
"rallies",15
"remove",15
"reopens",15
"reported",15
"retired",15
"reviewing",15
"san",15
"sell",15
"ship",15
"sites",15
"spoke",15
"stands",15
"sweeping",15
"towards",15
"trail",15
"troop",15
"turmoil",15
"uncertainty",15
"vision",15
"wait",15
"wiretap",15
"withdraw",15
"witness",15
"yemeni",15
"across",14
"advice",14
"already",14
"answers",14
"argentinas",14
"asian",14
"august",14
"autonomy",14
"backers",14
"backlash",14
"benefits",14
"bernie",14
"biofuels",14
"book",14
"breach",14
"brings",14
"broadcaster",14
"called",14
"cancel",14
"carbon",14
"complaint",14
"continues",14
"convicted",14
"conyers",14
"counterterrorism",14
"crew",14
"crucial",14
"deepens",14
"disclosure",14
"discusses",14
"divorce",14
"driving",14
"ensure",14
"evacuation",14
"failure",14
"fine",14
"forum",14
"friend",14
"gabriel",14
"golf",14
"grows",14
"hate",14
"hell",14
"ideas",14
"impasse",14
"inappropriate",14
"kuczynski",14
"lanka",14
"lines",14
"longer",14
"macri",14
"mali",14
"marijuana",14
"militia",14
"mulvaney",14
"named",14
"network",14
"old",14
"pakistans",14
"place",14
"praise",14
"prize",14
"pyongyang",14
"radio",14
"raising",14
"rebuild",14
"reduce",14
"register",14
"replaces",14
"reshuffle",14
"rocket",14
"rouhani",14
"said",14
"saleh",14
"several",14
"shares",14
"sky",14
"sparks",14
"subsidies",14
"success",14
"suit",14
"targeting",14
"things",14
"timeline",14
"trader",14
"uganda",14
"ugandan",14
"uncertain",14
"urged",14
"volcano",14
"wanted",14
"warned",14
"advocates",13
"affect",13
"aggressive",13
"apec",13
"approach",13
"assembly",13
"attacked",13
"banker",13
"barred",13
"belgium",13
"benefit",13
"berlin",13
"bombs",13
"boris",13
"brief",13
"canceled",13
"caribbean",13
"casts",13
"catalans",13
"caucus",13
"church",13
"civilian",13
"clarify",13
"cleric",13
"cold",13
"college",13
"commissioner",13
"common",13
"communist",13
"condemn",13
"constructive",13
"criticized",13
"currency",13
"danger",13
"deeply",13
"defector",13
"deny",13
"detroit",13
"difficult",13
"disclose",13
"domestic",13
"epipen",13
"eve",13
"factory",13
"failed",13
"farage",13
"farmers",13
"gap",13
"getting",13
"giving",13
"happen",13
"hearings",13
"hikes",13
"hunger",13
"investigators",13
"islamists",13
"ivory",13
"justices",13
"kentucky",13
"keystone",13
"killings",13
"koreans",13
"kurz",13
"legacy",13
"londons",13
"lost",13
"massachusetts",13
"matter",13
"melania",13
"mining",13
"minnesota",13
"mladic",13
"neutrality",13
"nieto",13
"nigerias",13
"nothing",13
"odds",13
"optimistic",13
"owner",13
"page",13
"panels",13
"pinera",13
"pot",13
"prepared",13
"priority",13
"raised",13
"ramaphosa",13
"rates",13
"rating",13
"rebuke",13
"receive",13
"recognition",13
"remark",13
"repeat",13
"reporter",13
"republic",13
"reserve",13
"restraint",13
"retaliation",13
"romania",13
"scare",13
"seriously",13
"server",13
"settle",13
"sharif",13
"shoot",13
"silent",13
"stable",13
"stalled",13
"stresses",13
"subpoena",13
"supply",13
"surprise",13
"suspend",13
"text",13
"thaad",13
"threaten",13
"traffic",13
"training",13
"tunisia",13
"ukrainian",13
"village",13
"wake",13
"website",13
"wells",13
"accident",12
"accuse",12
"activity",12
"afd",12
"age",12
"angry",12
"antitrust",12
"aside",12
"audience",12
"authority",12
"barzani",12
"based",12
"bbc",12
"calling",12
"card",12
"cars",12
"catalonias",12
"challenging",12
"charity",12
